	value
interest_rate	0.01
income_shock_mean	0.0005327084657715119
income_shock_std	-0.12494288770805696
taste_shock_scale	1.2181290756201855
discount_factor	0.9472516731618861
rho	0.004571698948222128
gamma	[0.70582737 1.38353326 2.02216168 1.76891487]
beta0	-7.345297182291478
beta1	0.0522079071554149
beta2	-0.00039990127757634844
kappa1	0.06222155116053464
kappa2	-0.00020496310970791897
phi_entry	2.3234801837629613
phi_exit	1.1517382814167205
phi_switch	1.4789367230108592
alpha1	0.000417
alpha2	0.099277
b_scale	-1.8482533741791478
xi	0.8429508008452946
eta_edu	0.43848
